MARC tag,Field name,concat,$3 label possible,$i label possible?,MARC tag label,Indicator label,Display,Index,Simple processing,Complex processing,Separate field,Obsolete,Display elements,Index elements,display/index different,Notes,mapped?
542,INFORMATION RELATING TO COPYRIGHT STATUS,542 -- INFORMATION RELATING TO COPYRIGHT STATUS,1,0,?,?,?,?,?,?,?,?,?,?,.,Feedback requested from metadata folks 2018-02-28,
543,SOLICITATION INFORMATION NOTE,543 -- SOLICITATION INFORMATION NOTE,0,0,0,0,0,0,0,0,0,-1,NA,NA,.,.,na
544,LOCATION OF OTHER ARCHIVAL MATERIALS NOTE,544 -- LOCATION OF OTHER ARCHIVAL MATERIALS NOTE,1,0,0,1,1,0,1,0,0,0,abcden3,NA,display-only,.,
545,BIOGRAPHICAL OR HISTORICAL DATA,545 -- BIOGRAPHICAL OR HISTORICAL DATA,0,0,0,1,1,1,1,0,1,0,abu,ab,y,.,
546,LANGUAGE NOTE,546 -- LANGUAGE NOTE,1,0,0,0,1,1,1,0,0,0,ab3,ab,n,.,
547,FORMER TITLE COMPLEXITY NOTE,547 -- FORMER TITLE COMPLEXITY NOTE,0,0,1,0,1,1,1,0,1,0,a,a,n,argotfield: title_former_note,
550,ISSUING BODY NOTE,550 -- ISSUING BODY NOTE,0,0,0,0,1,1,1,0,1,0,a,a,n,argotfield: issuance_note,
552,ENTITY AND ATTRIBUTE INFORMATION NOTE,552 -- ENTITY AND ATTRIBUTE INFORMATION NOTE,0,0,?,?,?,?,?,?,?,?,?,?,.,Feedback requested from metadata folks 2018-02-28,
555,CUMULATIVE INDEX/FINDING AIDS NOTE,555 -- CUMULATIVE INDEX/FINDING AIDS NOTE,1,0,0,1,1,0,1,0,0,0,abcdu3,NA,display-only,.,
556,INFORMATION ABOUT DOCUMENTATION NOTE,556 -- INFORMATION ABOUT DOCUMENTATION NOTE,0,0,0,0,1,0,1,0,1,0,az,NA,display-only,argotfield: accompanying_material,
561,OWNERSHIP AND CUSTODIAL HISTORY,561 -- OWNERSHIP AND CUSTODIAL HISTORY,1,0,0,0,1,1,0,1,0,0,au3,a,y,EXCLUDE if $5 is not a TRLN institution; EXCLUDE if ind1=0 (private).,y
562,COPY AND VERSION IDENTIFICATION NOTE,562 -- COPY AND VERSION IDENTIFICATION NOTE,1,0,0,0,1,0,1,0,1,0,abcde3,NA,display-only,argotfield: copy_or_version_specific_description,
563,BINDING INFORMATION,563 -- BINDING INFORMATION,1,0,0,0,1,1,1,0,1,0,a3,a,n,argotfield: binding_description,
565,CASE FILE CHARACTERISTICS NOTE,565 -- CASE FILE CHARACTERISTICS NOTE,1,0,?,?,?,?,?,?,?,?,?,?,.,Feedback requested from metadata folks 2018-02-28,
567,METHODOLOGY NOTE,567 -- METHODOLOGY NOTE,0,0,0,1,1,0,1,0,0,0,ab,NA,display-only,$b also to genre fields if $2 present,
570,EDITOR NOTE,570 -- EDITOR NOTE,0,0,0,0,0,0,0,0,0,-1,NA,NA,.,.,na
582,RELATED COMPUTER FILES NOTE,582 -- RELATED COMPUTER FILES NOTE,0,0,0,0,0,0,0,0,0,-1,NA,NA,.,.,na
583,ACTION NOTE,583 -- ACTION NOTE,1,0,0,0,0,0,0,1,0,0,NA,NA,display-only,.,
584,ACCUMULATION AND FREQUENCY OF USE NOTE,584 -- ACCUMULATION AND FREQUENCY OF USE NOTE,1,0,0,0,0,0,0,1,0,0,NA,NA,display-only,.,
585,EXHIBITIONS NOTE,585 -- EXHIBITIONS NOTE,1,0,0,0,1,1,1,0,0,0,a3,a,n,.,
586,AWARDS NOTE,586 -- AWARDS NOTE,1,0,0,1,1,1,1,0,0,0,a3,a,n,.,
588,SOURCE OF DESCRIPTION NOTE,588 -- SOURCE OF DESCRIPTION NOTE,0,0,0,0,0,0,0,1,0,0,NA,NA,display-only,.,
