Element name	Endeca dmod name	Facet on element?	Indexed in
Time Period	Subject: Time Period	yes	not indexed
Title Index	Title Index	no	Keyword, Keyword_Brief, Title
Title Sort	Title Sort	no	not indexed
Tracking Tag	Tracking Tag	no	not indexed
Translated as Linking	Translated as Linking	no	Keyword, Keyword_Brief
Translation of Linking	Translation of Linking	no	Keyword, Keyword_Brief
Troubleshooting	Troubleshooting	no	not indexed
Uncontrolled Author	Uncontrolled Author	no	not indexed
Uncontrolled Subject	Uncontrolled Subject	no	Keyword, Keyword_Brief
Uniform Title	Uniform Title	no	Keyword, Keyword_Brief, Title
UniqueId	UniqueId	no	not indexed
UPC	UPC	no	ISBN, Keyword
Varying Titles	Varying Titles	no	Keyword, Keyword_Brief, Title, Title_Brief
Volumes	Volumes	no	not indexed
