Prepipeline label	Element name	Endeca dmod name	Facet on element?	Indexed in
650	Subject Headings	Subject Headings	yes	Keyword, Keyword_Brief, Subject
651	Subjects	Subjects	no	not indexed
651	Subject Headings	Subject Headings	yes	Keyword, Keyword_Brief, Subject
653	Subjects	Subjects	no	not indexed
653	Subject Headings	Subject Headings	yes	Keyword, Keyword_Brief, Subject
690	Subjects	Subjects	no	not indexed
690	Subject Headings	Subject Headings	yes	Keyword, Keyword_Brief, Subject
691	Subjects	Subjects	no	not indexed
691	Subject Headings	Subject Headings	yes	Keyword, Keyword_Brief, Subject
695	Uncontrolled Subject	Uncontrolled Subject	no	Keyword, Keyword_Brief
Director	Director	Director	no	Author, Author_Brief, Keyword, Keyword_Brief
700a	Other Authors	Other Authors	no	Author, Keyword, Keyword_Brief
700t	Other Titles	Other Titles	no	Keyword, Keyword_Brief, Title
710a	Other Authors	Other Authors	no	Author, Keyword, Keyword_Brief
710t	Other Titles	Other Titles	no	Keyword, Keyword_Brief, Title
711a	Other Authors	Other Authors	no	Author, Keyword, Keyword_Brief
711t	Other Titles	Other Titles	no	Keyword, Keyword_Brief, Title
720	Uncontrolled Author	Uncontrolled Author	no	not indexed
730	Uniform Title	Uniform Title	no	Keyword, Keyword_Brief, Title
740	Varying Titles	Varying Titles	no	Keyword, Keyword_Brief, Title, Title_Brief
752	Notes	Notes	no	not indexed
760	Main Series Linking	Main Series Linking	no	not indexed
762	Subseries Linking	Subseries Linking	no	Keyword
765	Translation of Linking	Translation of Linking	no	Keyword, Keyword_Brief
765x	Linking ISSN	Linking_ISSN	no	ISBN
767	Translated as Linking	Translated as Linking	no	Keyword, Keyword_Brief
767x	Linking ISSN	Linking_ISSN	no	ISBN
770	Has Supplement Linking	Has Supplement Linking	no	Keyword
772	Supplement to Linking	Supplement to Linking	no	not indexed
773	Host Item Linking	Host Item Linking	no	Keyword, Keyword_Brief
773x	Linking ISSN	Linking_ISSN	no	ISBN
774	Constituent Unit Linking	Constituent Unit Linking	no	Keyword
774x	Linking ISSN	Linking_ISSN	no	ISBN
775	Other Edition	Other Edition	no	not indexed
780_journal	Journal Earlier Title	Journal Earlier Title	no	Journal_Concise, Journal_Title
780x	Linking ISSN	Linking_ISSN	no	ISBN
780	Earlier Title	Earlier Title	no	Keyword, Keyword_Brief, Title
785_journal	Journal Later Title	Journal Later Title	no	Journal_Concise, Journal_Title
785x	Linking ISSN	Linking_ISSN	no	ISBN
785	Later Title	Later Title	no	Keyword, Keyword_Brief, Title
790	Other Authors	Other Authors	no	Author, Keyword, Keyword_Brief
791	Other Authors	Other Authors	no	Author, Keyword, Keyword_Brief
Name_Title	Name Title	Name Title	no	not indexed
800t	Series Title Index	Series title index	no	Keyword, Keyword_Brief, Title
800	Series	Series	no	not indexed
810t	Series Title Index	Series title index	no	Keyword, Keyword_Brief, Title
810	Series	Series	no	not indexed
811t	Series Title Index	Series title index	no	Keyword, Keyword_Brief, Title
811	Series	Series	no	not indexed
830t	Series Title Index	Series title index	no	Keyword, Keyword_Brief, Title
830	Series	Series	no	not indexed
852HoldingsNote	Holdings Note	HoldingsNote	no	not indexed
Secondary_URL	Secondary URL	Secondary URL	no	not indexed
Primary_URL	Primary URL	Primary URL	no	not indexed
FindingAid_URL	Finding Aid URL	Finding Aid URL	no	not indexed
863HoldingsNote	Serial Holdings Summary	SerialHoldingsSummary	no	not indexed
866HoldingsNote	Serial Holdings Summary	SerialHoldingsSummary	no	not indexed
909	DateCataloged	DateCataloged	no	not indexed
999CallNo	Call Number	Call Number	no	not indexed
CallNoSort	Call Number Sort	Call Number sort	no	not indexed
999Circ	Circulation Level	Circulation Level	no	not indexed
999DocType	DocType	DocType	no	not indexed
999ItemDueDate	Item Due Date	ItemDueDate	no	not indexed
999ItemNote	Item Notes	ItemNotes	no	not indexed
999ItemType_orig	Item Types	ItemTypes	no	not indexed
999Lib_orig	Libraries	Libraries	no	not indexed
999Loc	Location property	Location_property	no	not indexed
999Status_orig	Statuses	Statuses	no	not indexed
LocalId	LocalId	LocalId	no	Keyword
OtherLocalId	Other LocalId	Other LocalId	no	Keyword
Rollup	Rollup	Rollup	no	not indexed
UniqueId	UniqueId	UniqueId	no	not indexed
OCLCNumber	OCLCNumber	OCLCNumber	no	Keyword
EAD ID	EAD ID	EAD ID	no	Keyword
EAD ID	EAD ID	EAD ID	no	Keyword
Donor	Donor	Donor	no	Keyword
LocalNumbers	Local System Number	Local System Number	no	not indexed
EAD Access Restrictions	EAD Access Restrictions	EAD Access Restrictions	no	not indexed
EAD Acquisitions Info	EAD Acquisitions Info	EAD Acquisitions Info	no	not indexed
EAD Biographical Note	EAD Biographical History	EAD Biographical Note	no	Keyword
EAD Overview	EAD Overview	EAD Overview	no	Keyword
EAD Preferred Citation	EAD Preferred Citation	EAD Preferred Citation	no	not indexed
EAD Scope Content	EAD Scope Content	EAD Scope Content	no	Keyword
EAD Unit Title	EAD Unit Title	EAD Unit Title	no	Keyword
EAD Use Restrictions	EAD Use Restrictions	EAD Use Restrictions	no	not indexed
EAD Element Flag	EAD Element Flag	EAD Element Flag	no	not indexed
EAD Element List	EAD Element List	EAD Element List	no	not indexed
008BookFiction	Genre	Subject: Genre	yes	Keyword, Keyword_Brief, Subject
008Lang	Language	Language	yes	not indexed
008SerialType	Format	Format	yes	not indexed
100_Facet	Author	Author	yes	Author, Author_Brief, Keyword
600v	Genre	Subject: Genre	yes	Keyword, Keyword_Brief, Subject
610v	Genre	Subject: Genre	yes	Keyword, Keyword_Brief, Subject
611v	Genre	Subject: Genre	yes	Keyword, Keyword_Brief, Subject
630v	Genre	Subject: Genre	yes	Keyword, Keyword_Brief, Subject
650v	Genre	Subject: Genre	yes	Keyword, Keyword_Brief, Subject
651v	Genre	Subject: Genre	yes	Keyword, Keyword_Brief, Subject
655a	Genre	Subject: Genre	yes	Keyword, Keyword_Brief, Subject
690x	Genre	Subject: Genre	yes	Keyword, Keyword_Brief, Subject
600z	Region	Subject: Region	yes	not indexed
610z	Region	Subject: Region	yes	not indexed
611z	Region	Subject: Region	yes	not indexed
630z	Region	Subject: Region	yes	not indexed
650z	Region	Subject: Region	yes	not indexed
651a	Region	Subject: Region	yes	not indexed
651z	Region	Subject: Region	yes	not indexed
655z	Region	Subject: Region	yes	not indexed
600y	Time Period	Subject: Time Period	yes	not indexed
610y	Time Period	Subject: Time Period	yes	not indexed
611y	Time Period	Subject: Time Period	yes	not indexed
630y	Time Period	Subject: Time Period	yes	not indexed
650y	Time Period	Subject: Time Period	yes	not indexed
650a2	Medical Subject	Medical Subject: Topic	yes	not indexed
651y	Time Period	Subject: Time Period	yes	not indexed
600a	Subject	Subject: Topic	yes	not indexed
650x2	Medical Subject	Medical Subject: Topic	yes	not indexed
600x	Subject	Subject: Topic	yes	not indexed
610a	Subject	Subject: Topic	yes	not indexed
610x	Subject	Subject: Topic	yes	not indexed
611a	Subject	Subject: Topic	yes	not indexed
611x	Subject	Subject: Topic	yes	not indexed
630a	Subject	Subject: Topic	yes	not indexed
630x	Subject	Subject: Topic	yes	not indexed
650a	Subject	Subject: Topic	yes	not indexed
650x	Subject	Subject: Topic	yes	not indexed
651x	Subject	Subject: Topic	yes	not indexed
700_facet	Author	Author	yes	Author, Author_Brief, Keyword
800a	Author	Author	yes	Author, Author_Brief, Keyword
810a	Author	Author	yes	Author, Author_Brief, Keyword
811a	Author	Author	yes	Author, Author_Brief, Keyword
995	Institution	Institution	yes	not indexed
999ItemType	Format	Format	yes	not indexed
ItemCallNo	Call Number Range	Call Number Range	yes	not indexed
999Lib	Location	Location	yes	not indexed
999Lib	Location	Location	yes	not indexed
999Status	Availability	Availability	yes	not indexed
BibCallNo	Call Number Range	Call Number Range	yes	not indexed
Source	Source	Source	yes	not indexed
