MARC tag	ind1	ind2	MARC Further constraint	MARC Subfields	Endeca Element	INST	verified
630	.	.	.	adfghklmnoprstvxyz	Subject Headings	Duke	
630	.	.	.	adfghklmnoprstvxyz	Subject Headings	NCCU	
630	.	.	.	adfghklmnoprstvxyz	Subject Headings	NCSU	
630	.	.	.	adfghklmnoprstvxyz	Subject Headings	UNC	
630	.	.	.	adfghklmnoprstvxyz	Subjects	Duke	
630	.	.	.	adfghklmnoprstvxyz	Subjects	NCCU	
630	.	.	.	adfghklmnoprstvxyz	Subjects	NCSU	
630	.	.	.	adfghklmnoprstvxyz	Subjects	UNC	
630	.	[12347]	.	y	Time Period	Duke	
630	.	[12347]	.	y	Time Period	NCCU	
630	.	[12347]	.	y	Time Period	NCSU	
630	.	[12347]	.	y	Time Period	UNC	
650	.	[12347]	.	v	Genre	Duke	
650	.	[12347]	.	v	Genre	NCCU	
650	.	[12347]	.	v	Genre	NCSU	
650	.	[12347]	.	v	Genre	UNC	
650	.	2	.	x	Medical Subject	Duke	
650	.	2	.	a	Medical Subject	Duke	
650	.	2	.	x	Medical Subject	NCCU	
650	.	2	.	a	Medical Subject	NCCU	
650	.	2	.	x	Medical Subject	NCSU	
650	.	2	.	a	Medical Subject	NCSU	
650	.	2	.	x	Medical Subject	UNC	
650	.	2	.	a	Medical Subject	UNC	
650	.	[12347]	.	z	Region	Duke	
650	.	[12347]	.	z	Region	NCCU	
650	.	[12347]	.	z	Region	NCSU	
650	.	[12347]	.	z	Region	UNC	
650	.	[12347]	.	a	Subject	Duke	
650	.	[12347]	.	x	Subject	Duke	
650	.	[12347]	.	a	Subject	NCCU	
650	.	[12347]	.	x	Subject	NCCU	
650	.	[12347]	.	a	Subject	NCSU	
650	.	[12347]	.	x	Subject	NCSU	
650	.	[12347]	.	a	Subject	UNC	
650	.	[12347]	.	x	Subject	UNC	
650	.	.	.	abcdevxyz	Subject Headings	Duke	
650	.	.	.	abcdevxyz	Subject Headings	NCCU	
650	.	.	.	abcdevxyz	Subject Headings	NCSU	
650	.	.	.	abcdevxyz	Subject Headings	UNC	
650	.	.	.	abcdevxyz	Subjects	Duke	
650	.	.	.	abcdevxyz	Subjects	NCCU	
650	.	.	.	abcdevxyz	Subjects	NCSU	
650	.	.	.	abcdevxyz	Subjects	UNC	
650	.	[12347]	.	y	Time Period	Duke	
650	.	[12347]	.	y	Time Period	NCCU	
650	.	[12347]	.	y	Time Period	NCSU	
650	.	[12347]	.	y	Time Period	UNC	
651	.	[12347]	.	v	Genre	Duke	
651	.	[12347]	.	v	Genre	NCCU	
651	.	[12347]	.	v	Genre	NCSU	
651	.	[12347]	.	v	Genre	UNC	
651	.	[12347]	.	a	Region	Duke	
651	.	[12347]	.	z	Region	Duke	
651	.	[12347]	.	a	Region	NCCU	
651	.	[12347]	.	z	Region	NCCU	
651	.	[12347]	.	a	Region	NCSU	
651	.	[12347]	.	z	Region	NCSU	
651	.	[12347]	.	a	Region	UNC	
651	.	[12347]	.	z	Region	UNC	
651	.	[12347]	.	x	Subject	Duke	
651	.	[12347]	.	x	Subject	NCCU	
651	.	[12347]	.	x	Subject	NCSU	
651	.	[12347]	.	x	Subject	UNC	
651	.	.	.	avxyz	Subject Headings	Duke	
651	.	.	.	avxyz	Subject Headings	NCCU	
651	.	.	.	avxyz	Subject Headings	NCSU	
651	.	.	.	avxyz	Subject Headings	UNC	
651	.	.	.	avxyz	Subjects	Duke	
651	.	.	.	avxyz	Subjects	NCCU	
651	.	.	.	avxyz	Subjects	NCSU	
651	.	.	.	avxyz	Subjects	UNC	
651	.	[12347]	.	y	Time Period	Duke	
651	.	[12347]	.	y	Time Period	NCCU	
651	.	[12347]	.	y	Time Period	NCSU	
651	.	[12347]	.	y	Time Period	UNC	
653	.	.	.	a	Subject Headings	Duke	
653	.	.	.	a	Subject Headings	NCCU	
653	.	.	.	a	Subject Headings	NCSU	
653	.	.	.	a	Subject Headings	UNC	
653	.	.	.	a	Subjects	Duke	
653	.	.	.	a	Subjects	NCCU	
653	.	.	.	a	Subjects	NCSU	
653	.	.	.	a	Subjects	UNC	
655	.	[12347]	.	a	Genre	Duke	
655	.	[12347]	.	a	Genre	NCCU	
655	.	[12347]	.	a	Genre	NCSU	
655	.	[12347]	.	a	Genre	UNC	
655	.	[12347]	.	z	Region	Duke	
655	.	[12347]	.	z	Region	NCCU	
655	.	[12347]	.	z	Region	NCSU	
655	.	[12347]	.	z	Region	UNC	
655	.	.	.	abvxyz	Subject Headings	Duke	
655	.	.	.	abvxyz	Subject Headings	NCCU	
655	.	.	.	abvxyz	Subject Headings	NCSU	
655	.	.	.	abvxyz	Subject Headings	UNC	
690	.	.	.	x	Genre	Duke	
690	.	.	.	x	Genre	NCCU	
690	.	.	.	x	Genre	NCSU	
690	.	.	.	x	Genre	UNC	
690	.	.	.	a	Subject Headings	Duke	
690	.	.	.	ax	Subject Headings	NCSU	
690	.	.	.	a	Subjects	Duke	
690	.	.	.	ax	Subjects	NCSU	
691	.	.	.	abvxyz	Subject Headings	Duke	
691	.	.	.	abvxyz	Subject Headings	NCCU	
691	.	.	.	abvxyz	Subject Headings	NCSU	
691	.	.	.	abvxyz	Subject Headings	UNC	
691	.	.	.	abvxyz	Subjects	Duke	
691	.	.	.	abvxyz	Subjects	NCCU	
691	.	.	.	abvxyz	Subjects	NCSU	
691	.	.	.	abvxyz	Subjects	UNC	
695	.	.	.	a	Uncontrolled Subject	Duke	
695	.	.	.	a	Uncontrolled Subject	NCCU	
695	.	.	.	a	Uncontrolled Subject	NCSU	
695	.	.	.	a	Uncontrolled Subject	UNC	
700	.	.	.	abcdq	Author	Duke	
700	.	.	.	abcdq	Author	NCCU	
700	.	.	.	abcdq	Author	NCSU	
700	.	.	.	abcdq	Author	UNC	
700	.	.	4=drt || e=director		Director	Duke	
700	.	.	4=drt || e=director		Director	NCCU	
700	.	.	4=drt || e=director		Director	NCSU	
700	.	.	4=drt || e=director		Director	UNC	
700	.	.	.	abcdejqu4fhiklmnoprstxg	Name Title	Duke	
700	.	.	.	abcdejqu4fhiklmnoprstxg	Name Title	NCCU	
700	.	.	.	abcdejqu4fhiklmnoprstxg	Name Title	NCSU	
700	.	.	.	abcdejqu4fhiklmnoprstxg	Name Title	UNC	
700	.	.	.	abcdeq	Other Authors	Duke	
700	.	.	.	abcdeq	Other Authors	NCCU	
700	.	.	.	abcdeq	Other Authors	NCSU	
700	.	.	.	abcdeq	Other Authors	UNC	
700	.	.	.	fghijklmnoprst	Other Titles	Duke	
700	.	.	.	fghijklmnoprst	Other Titles	NCCU	
700	.	.	.	fghijklmnoprst	Other Titles	NCSU	
700	.	.	.	fghijklmnoprst	Other Titles	UNC	
710	.	.	.	abceu4fhiklmoprstxdgn	Name Title	Duke	
710	.	.	.	abceu4fhiklmoprstxdgn	Name Title	NCCU	
710	.	.	.	abceu4fhiklmoprstxdgn	Name Title	NCSU	
710	.	.	.	abceu4fhiklmoprstxdgn	Name Title	UNC	
710	.	.	.	abcde	Other Authors	Duke	
710	.	.	.	abcde	Other Authors	NCCU	
710	.	.	.	abcde	Other Authors	NCSU	
710	.	.	.	abcde	Other Authors	UNC	
710	.	.	.	fghklmnoprst	Other Titles	Duke	
710	.	.	.	fghklmnoprst	Other Titles	NCCU	
710	.	.	.	fghklmnoprst	Other Titles	NCSU	
710	.	.	.	fghklmnoprst	Other Titles	UNC	
711	.	.	.	acdejqu4fhiklpstxgn	Name Title	Duke	
711	.	.	.	acdejqu4fhiklpstxgn	Name Title	NCCU	
711	.	.	.	acdejqu4fhiklpstxgn	Name Title	NCSU	
711	.	.	.	acdejqu4fhiklpstxgn	Name Title	UNC	
711	.	.	.	abcdeq	Other Authors	Duke	
711	.	.	.	abcdeq	Other Authors	NCCU	
711	.	.	.	abcdeq	Other Authors	NCSU	
711	.	.	.	abcdeq	Other Authors	UNC	
711	.	.	.	fghklmnpst	Other Titles	Duke	
711	.	.	.	fghklmnpst	Other Titles	NCCU	
711	.	.	.	fghklmnpst	Other Titles	NCSU	
711	.	.	.	fghklmnpst	Other Titles	UNC	
720	.	.	.	a	Uncontrolled Author	Duke	
720	.	.	.	a	Uncontrolled Author	NCCU	
720	.	.	.	a	Uncontrolled Author	NCSU	
720	.	.	.	a	Uncontrolled Author	UNC	
730	.	.	.	adfghklmnoprst	Uniform Title	Duke	
730	.	.	.	adfghklmnoprst	Uniform Title	NCCU	
730	.	.	.	adfghklmnoprst	Uniform Title	NCSU	
730	.	.	.	adfghklmnoprst	Uniform Title	UNC	
740	.	.	.	ahnp	Varying Titles	Duke	
740	.	.	.	ahnp	Varying Titles	NCCU	
740	.	.	.	ahnp	Varying Titles	NCSU	
740	.	.	.	ahnp	Varying Titles	UNC	
752	.	.	.	abcd	Notes	Duke	
752	.	.	.	abcd	Notes	NCCU	
752	.	.	.	abcd	Notes	NCSU	
752	.	.	.	abcd	Notes	UNC	
760	.	.	.	abcdghimnostwxy	Main Series Linking	Duke	
760	.	.	.	abcdghimnostwxy	Main Series Linking	NCCU	
760	.	.	.	abcdghimnostwxy	Main Series Linking	NCSU	
760	.	.	.	abcdghimnostwxy	Main Series Linking	UNC	
762	.	.	.	abcdghimnostwxy	Subseries Linking	Duke	
762	.	.	.	abcdghimnostwxy	Subseries Linking	NCCU	
762	.	.	.	abcdghimnostwxy	Subseries Linking	NCSU	
762	.	.	.	abcdghimnostwxy	Subseries Linking	UNC	
765	.	.	.	xz	Linking ISSN	Duke	
765	.	.	.	xz	Linking ISSN	NCCU	
765	.	.	.	xz	Linking ISSN	NCSU	
765	.	.	.	xz	Linking ISSN	UNC	
765	.	.	.	abcdghikmnorstuwxyz	Translation of Linking	Duke	
765	.	.	.	abcdghikmnorstuwxyz	Translation of Linking	NCCU	
765	.	.	.	abcdghikmnorstuwxyz	Translation of Linking	NCSU	
765	.	.	.	abcdghikmnorstuwxyz	Translation of Linking	UNC	
767	.	.	.	xz	Linking ISSN	Duke	
767	.	.	.	xz	Linking ISSN	NCCU	
767	.	.	.	xz	Linking ISSN	NCSU	
767	.	.	.	xz	Linking ISSN	UNC	
767	.	.	.	abcdghikmnorstuwxyz	Translated as Linking	Duke	
767	.	.	.	abcdghikmnorstuwxyz	Translated as Linking	NCCU	
767	.	.	.	abcdghikmnorstuwxyz	Translated as Linking	NCSU	
767	.	.	.	abcdghikmnorstuwxyz	Translated as Linking	UNC	
770	.	.	.	abcdghikmnorstuwxyz	Has Supplement Linking	Duke	
770	.	.	.	abcdghikmnorstuwxyz	Has Supplement Linking	NCCU	
770	.	.	.	abcdghikmnorstuwxyz	Has Supplement Linking	NCSU	
770	.	.	.	abcdghikmnorstuwxyz	Has Supplement Linking	UNC	
772	.	.	.	abcdghikmnorstuwxyz	Supplement to Linking	Duke	
772	.	.	.	abcdghikmnorstuwxyz	Supplement to Linking	NCCU	
772	.	.	.	abcdghikmnorstuwxyz	Supplement to Linking	NCSU	
772	.	.	.	abcdghikmnorstuwxyz	Supplement to Linking	UNC	
773	.	.	.	abdghikmnopqrstuwxyz	Host Item Linking	Duke	
773	.	.	.	abdghikmnopqrstuwxyz	Host Item Linking	NCCU	
773	.	.	.	abdghikmnopqrstuwxyz	Host Item Linking	NCSU	
773	.	.	.	abdghikmnopqrstuwxyz	Host Item Linking	UNC	
773	.	.	.	xz	Linking ISSN	Duke	
773	.	.	.	xz	Linking ISSN	NCCU	
773	.	.	.	xz	Linking ISSN	NCSU	
773	.	.	.	xz	Linking ISSN	UNC	
774	.	.	.	abcdghikmnorstuwxyz	Constituent Unit Linking	Duke	
774	.	.	.	abcdghikmnorstuwxyz	Constituent Unit Linking	NCCU	
774	.	.	.	abcdghikmnorstuwxyz	Constituent Unit Linking	NCSU	
774	.	.	.	abcdghikmnorstuwxyz	Constituent Unit Linking	UNC	
774	.	.	.	xz	Linking ISSN	Duke	
774	.	.	.	xz	Linking ISSN	NCCU	
774	.	.	.	xz	Linking ISSN	NCSU	
774	.	.	.	xz	Linking ISSN	UNC	
775	.	.	.	abdghint	Other Edition	Duke	
775	.	.	.	abdghint	Other Edition	NCCU	
775	.	.	.	abdghint	Other Edition	NCSU	
775	.	.	.	abdghint	Other Edition	UNC	
780	.	.	.	abcdghnkstxz	Earlier Title	Duke	
780	.	.	.	abcdghnkstxz	Earlier Title	NCCU	
780	.	.	.	abcdghnkstxz	Earlier Title	NCSU	
780	.	.	.	abcdghnkstxz	Earlier Title	UNC	
780	.	.	LDR/07=s && 008/21=[pP]	abcdghnkstxz	Journal Earlier Title	Duke	
780	.	.	LDR/07=s && 008/21=[pP]	abcdghnkstxz	Journal Earlier Title	NCCU	
780	.	.	LDR/07=s && 008/21=[pP]	abcdghnkstxz	Journal Earlier Title	NCSU	
780	.	.	LDR/07=s && 008/21=[pP]	abcdghnkstxz	Journal Earlier Title	UNC	
780	.	.	.	xz	Linking ISSN	Duke	
780	.	.	.	xz	Linking ISSN	NCCU	
780	.	.	.	xz	Linking ISSN	NCSU	
780	.	.	.	xz	Linking ISSN	UNC	
785	.	.	LDR/07=s && 008/21=[pP]	abcdghikmnstxz	Journal Later Title	Duke	
785	.	.	LDR/07=s && 008/21=[pP]	abcdghikmnstxz	Journal Later Title	NCCU	
785	.	.	LDR/07=s && 008/21=[pP]	abcdghikmnstxz	Journal Later Title	NCSU	
785	.	.	LDR/07=s && 008/21=[pP]	abcdghikmnstxz	Journal Later Title	UNC	
785	.	.	.	abcdghikmnstxz	Later Title	Duke	
785	.	.	.	abcdghikmnstxz	Later Title	NCCU	
785	.	.	.	abcdghikmnstxz	Later Title	NCSU	
785	.	.	.	abcdghikmnstxz	Later Title	UNC	
785	.	.	.	xz	Linking ISSN	Duke	
785	.	.	.	xz	Linking ISSN	NCCU	
785	.	.	.	xz	Linking ISSN	NCSU	
785	.	.	.	xz	Linking ISSN	UNC	
790	.	.	.	a	Other Authors	Duke	
790	.	.	.	a	Other Authors	NCCU	
790	.	.	.	a	Other Authors	NCSU	
790	.	.	.	a	Other Authors	UNC	
791	.	.	.	ab	Other Authors	Duke	
791	.	.	.	ab	Other Authors	NCCU	
791	.	.	.	ab	Other Authors	NCSU	
791	.	.	.	ab	Other Authors	UNC	
800	.	.	.	abcdegq	Author	Duke	
800	.	.	.	abcdegq	Author	NCCU	
800	.	.	.	abcdegq	Author	NCSU	
800	.	.	.	abcdegq	Author	UNC	
800	.	.	.	abcdefhklmnopqrstv	Series	Duke	
800	.	.	.	abcdefhklmnopqrstv	Series	NCCU	
800	.	.	.	abcdefhklmnopqrstv	Series	NCSU	
800	.	.	.	abcdefhklmnopqrstv	Series	UNC	
800	.	.	.	tnpfkl	Series Title Index	Duke	
800	.	.	.	tnpfkl	Series Title Index	NCCU	
800	.	.	.	tnpfkl	Series Title Index	NCSU	
800	.	.	.	tnpfkl	Series Title Index	UNC	
810	.	.	.	ab	Author	Duke	
810	.	.	.	ab	Author	NCCU	
810	.	.	.	ab	Author	NCSU	
810	.	.	.	ab	Author	UNC	
810	.	.	.	abcdefhklmnoprstv	Series	Duke	
810	.	.	.	abcdefhklmnoprstv	Series	NCCU	
810	.	.	.	abcdefhklmnoprstv	Series	NCSU	
810	.	.	.	abcdefhklmnoprstv	Series	UNC	
810	.	.	.	tnoprlsm	Series Title Index	Duke	
810	.	.	.	tnoprlsm	Series Title Index	NCCU	
810	.	.	.	tnoprlsm	Series Title Index	NCSU	
810	.	.	.	tnoprlsm	Series Title Index	UNC	
811	.	.	.	acd	Author	Duke	
811	.	.	.	acd	Author	NCCU	
811	.	.	.	acd	Author	NCSU	
811	.	.	.	acd	Author	UNC	
811	.	.	.	acdefhklnpqstv	Series	Duke	
811	.	.	.	acdefhklnpqstv	Series	NCCU	
811	.	.	.	acdefhklnpqstv	Series	NCSU	
811	.	.	.	acdefhklnpqstv	Series	UNC	
811	.	.	.	tnpls	Series Title Index	Duke	
811	.	.	.	tnpls	Series Title Index	NCCU	
811	.	.	.	tnpls	Series Title Index	NCSU	
811	.	.	.	tnpls	Series Title Index	UNC	
830	.	.	.	adfghklmnoprsv	Series	Duke	
830	.	.	.	adfghklmnoprsv	Series	NCCU	
830	.	.	.	adfghklmnoprsv	Series	NCSU	
830	.	.	.	adfghklmnoprsv	Series	UNC	
830	.	.	.	ahnpv	Series Title Index	Duke	
830	.	.	.	ahnpv	Series Title Index	NCCU	
830	.	.	.	ahnpv	Series Title Index	NCSU	
830	.	.	.	ahnpv	Series Title Index	UNC	
852	.	.	.		Holdings Note	Duke	
852	.	.	.		Holdings Note	NCCU	
852	.	.	.		Holdings Note	NCSU	
852	.	.	.		Holdings Note	UNC	
856	.	[b012]	3=Finding aid	uyz3	Finding Aid URL	Duke	
856	.	[b012]	3=Finding aid	uyz3	Finding Aid URL	NCCU	
856	.	[b012]	3=Finding aid	uyz3	Finding Aid URL	NCSU	
856	.	[b012]	3=Finding aid	uyz3	Finding Aid URL	UNC	
856	.	[b01]	.	uyz3	Primary URL	Duke	
856	.	[b01]	.	uyz3	Primary URL	NCCU	
856	.	[b01]	.	uyz3	Primary URL	NCSU	
856	.	[b01]	.	uyz3	Primary URL	UNC	
856	.	[28]	.	uyz3	Secondary URL	Duke	
856	.	[28]	.	uyz3	Secondary URL	NCCU	
856	.	[28]	.	uyz3	Secondary URL	NCSU	
856	.	[28]	.	uyz3	Secondary URL	UNC	
907	.	.	.	a	UniqueId	UNC	
506	.	.	.	abcdeu	Access Restrictions	NCCU	
