fieldname,type,stored,arity,sort,fieldname with suffix
series_statement_issn,isbn,"","","",series_statement_issn_isbn
series_statement_other_ids,num,"","","",series_statement_other_ids_num
series_title,t,"","","",series_title_t
series_work_indexed,t,"","","",series_work_indexed_t
series_isbn,isbn,"","","",series_isbn_isbn
series_issn,num,"","","",series_issn_num
series_other_ids,str,"","","",series_other_ids_str
shelfkey,t,stored,single,"",shelfkey_t_stored_single
source_of_acquisition,t,stored,"","",source_of_acquisition_t_stored
statement_of_responsibility,t,stored,"","",statement_of_responsibility_t_stored
subject_chronological,tf,stored,"","",subject_chronological_tf_stored
subject_genre,tf,stored,"","",subject_genre_tf_stored
subject_geographic,tf,stored,"","",subject_geographic_tf_stored
subject_medical,tf,stored,"","",subject_medical_tf_stored
subject_topical,tf,stored,"","",subject_topical_tf_stored
subject_headings,tf,stored,"","",subject_headings_tf_stored
subseries_author,t,"","","",subseries_author_t
subseries_title,t,"","","",subseries_title_t
subseries_work_indexed,t,"","","",subseries_work_indexed_t
subseries_isbn,isbn,"","","",subseries_isbn_isbn
subseries_issn,num,"","","",subseries_issn_num
subseries_other_ids,str,"","","",subseries_other_ids_str
supplement_to_author,t,"","","",supplement_to_author_t
supplement_to_title,t,"","","",supplement_to_title_t
supplement_to_work_indexed,t,"","","",supplement_to_work_indexed_t
supplement_to_isbn,isbn,"","","",supplement_to_isbn_isbn
supplement_to_issn,num,"","","",supplement_to_issn_num
supplement_to_other_ids,str,"","","",supplement_to_other_ids_str
this_author,t,"","","",this_author_t
this_title,t,"","","",this_title_t
this_work_indexed,t,"","","",this_work_indexed_t
this_isbn,isbn,"","","",this_isbn_isbn
this_issn,num,"","","",this_issn_num
this_other_ids,str,"","","",this_other_ids_str
title_abbrev_indexed,t,"","","",title_abbrev_indexed_t
title_former_indexed,t,"","","",title_former_indexed_t
title_former_issn,num,"","","",title_former_issn_num
title_key_indexed,t,"","","",title_key_indexed_t
title_main,t,stored,single,"",title_main_t_stored_single
title_main_indexed,t,"","","",title_main_indexed_t
title_sort,str,"",single,sort,title_sort_ssort_single
title_variant_indexed,t,"","","",title_variant_indexed_t
translated_as_author,t,"","","",translated_as_author_t
translated_as_title,t,"","","",translated_as_title_t
translated_as_work_indexed,t,"","","",translated_as_work_indexed_t
translated_as_isbn,isbn,"","","",translated_as_isbn_isbn
translated_as_issn,num,"","","",translated_as_issn_num
translated_as_other_ids,str,"","","",translated_as_other_ids_str
translation_of_author,t,"","","",translation_of_author_t
translation_of_title,t,"","","",translation_of_title_t
translation_of_work_indexed,t,"","","",translation_of_work_indexed_t
translation_of_isbn,isbn,"","","",translation_of_isbn_isbn
translation_of_issn,num,"","","",translation_of_issn_num
translation_of_other_ids,str,"","","",translation_of_other_ids_str
upc_indexed,str,"","","",upc_indexed_str
url,str,stored,"","",url_str_stored
virtual_collection,tf,stored,"","",virtual_collection_tf_stored
volumes,t,stored,"","",volumes_t_stored
