Endeca Element	MARC tag	ind1	ind2	MARC Further constraint	MARC Subfields	INST
Other Titles	711	.	.	.	fghklmnpst	TRLN
Performer Credits	511	.	.	.	a	TRLN
Primary URL	856	.	b01	.	uyz3	TRLN
Producer	264	.	0	.	b	TRLN
Production Credits	508	.	.	.	a	TRLN
Production Statement	264	.	0	.	abc	TRLN
PubDateSort	008	.	.	.	10-Jul	TRLN
Publication Year	008	.	.	.	10-Jul	TRLN
Published	260	.	.	.	c	TRLN
Published	264	.	1	.	c	TRLN
Publisher	260	.	.	.	bf	TRLN
Publisher	264	.	1	.	b	TRLN
Publisher Number	028	.	.	.	ab	TRLN
Region	600	.	12347	.	z	TRLN
Region	610	.	12347	.	z	TRLN
Region	611	.	12347	.	z	TRLN
Region	630	.	12347	.	z	TRLN
Region	650	.	12347	.	z	TRLN
Region	651	.	12347	.	a	TRLN
Region	651	.	12347	.	z	TRLN
Region	655	.	12347	.	z	TRLN
Related Collections	544	.	.	.	abcden	TRLN
Secondary URL	856	.	28	.	uyz3	TRLN
Series	800	.	.	.	abcdefhklmnopqrstv	TRLN
Series	810	.	.	.	abcdefhklmnoprstv	TRLN
Series	811	.	.	.	acdefhklnpqstv	TRLN
Series	830	.	.	.	adfghklmnoprsv	TRLN
Series ISSN	440	.	.	.	x	TRLN
Series ISSN	490	.	.	.	x	TRLN
Series Statement	440	.	.	.	anpvx	TRLN
Series Statement	490	.	.	.	avx	TRLN
Series Title Index	800	.	.	.	tnpfkl	TRLN
Series Title Index	810	.	.	.	tnoprlsm	TRLN
Series Title Index	811	.	.	.	tnpls	TRLN
Series Title Index	830	.	.	.	ahnpv	TRLN
Sound Recording Imprint	262	.	.	.	b	TRLN
Source of Acquisition	541	.	.	.	abcdefhno	TRLN
Statement of Responsibility	245	.	.	.	c	TRLN
Subject	600	.	12347	.	a	TRLN
Subject	600	.	12347	.	x	TRLN
Subject	610	.	12347	.	a	TRLN
Subject	610	.	12347	.	x	TRLN
Subject	611	.	12347	.	a	TRLN
Subject	611	.	12347	.	x	TRLN
Subject	630	.	12347	.	a	TRLN
Subject	630	.	12347	.	x	TRLN
Subject	650	.	12347	.	a	TRLN
Subject	650	.	12347	.	x	TRLN
Subject	651	.	12347	.	x	TRLN
