field,desc,doc,jira ref
subject_genre,"Should not be limited to just LCSH. Maybe we only pull it from $v of LCSH headings, but terms from the 655 fields should include several other vocabularies that are primary sources of genre/form terms (LCSH is not the main source here)",.,.
subject_topic_other,"Include FAST terms? Any other vocabularies? Endeca data model specified constraints that, if followed, pulled in terms/headings from nearly any source",.,.
subject_topic_lcsh,Dedupe values assigned to field or not? Do multiple occurrences of the same value help in ordering the results by relevance?,.,.
subject_genre,Dedupe values assigned to field or not? Do multiple occurrences of the same value help in ordering the results by relevance?,.,.
subject_chronological,Dedupe values assigned to field or not? Do multiple occurrences of the same value help in ordering the results by relevance?,.,.
subject_geographic,Dedupe values assigned to field or not? Do multiple occurrences of the same value help in ordering the results by relevance?,.,.
resource_type,Use case for this? Does NCSU still need? Anyone else?,.,.
location_facet,Create documentation in this repo,.,.
rollup_id,Create documentation in this repo,.,.
rollup_id,SerSol number rollup; UNC is sending data through. Alert others.,.,.
copyright_year,MARC-to-Argot fix: copyright_year vs. copyright_data (and what does this field DO in the system?),.,https://trlnmain.atlassian.net/browse/TD-498
copyright_year,If we are keeping this we probably need to pull from 008 or something? ,.,.
isbn[qualifying_info],Display details: isbn[qualifying_info] not displaying,.,https://trlnmain.atlassian.net/browse/TD-504
items[due_date],not displaying. Example: https://discovery.trln.org/catalog/UNCb3257917,,
note_summary,ensure label is being provided based on indicator value,,
